date,Agropecuária,Indústria,Infraestrutura,Comércio e serviços,Total
1995 Q1,923.3943913288292,3705.513028937134,1705.2172231609218,386.99105999174515,6721.115703418631
1995 Q2,1094.9589161432655,4595.090446857955,1541.1164051181786,641.6185739155724,7872.784342034972
1995 Q3,668.9000309694967,3990.4751614472852,1533.579400097603,603.7077030270373,6796.662295541422
1995 Q4,745.1114398713407,6424.335093535754,3333.4335283464957,818.252446605735,11321.132508359326
1996 Q1,691.1020739464739,4328.6766179233055,2804.6340013467766,673.9107634959877,8498.323456712544
1996 Q2,782.6621145267229,4437.156335878743,1977.5664975557347,2746.42705582707,9943.812003788269
1996 Q3,884.0830717227315,4178.148368834545,2903.417842372573,1203.551093872963,9169.200376802813
1996 Q4,576.9941172318784,4647.354756636926,4313.5645145958115,1707.1053636970614,11245.018752161677
1997 Q1,662.7761723719707,3022.679828912069,3053.4967013076202,893.4476623394964,7632.400364931156
1997 Q2,1569.1232761251358,6817.411328998731,5053.169449982264,1353.889656652023,14793.593711758156
1997 Q3,1510.3734015936986,7364.883122498101,8076.741468909741,1486.7187667265061,18438.716759728046
1997 Q4,1478.8035396489754,8221.520173350922,14028.311464605602,2484.710295108368,26213.345472713867
1998 Q1,1253.7399357715822,5966.4112064118035,4625.095388787151,1407.5146038362495,13252.761134806786
1998 Q2,801.9966636618309,5929.6548503265085,10695.635194546225,1714.5522850309562,19141.83899356552
1998 Q3,1247.1749356648263,8209.296543582534,9071.211024442768,2435.0704353170977,20962.752939007227
1998 Q4,1621.6461564873325,7200.151422658552,4412.634472376051,2698.2682997728903,15932.700351294825
1999 Q1,1062.4184517416008,6644.216560431743,3046.529650251516,1775.35140596981,12528.51606839467
1999 Q2,1064.6041673265458,7295.738948726321,3536.377727339005,1114.26655223483,13010.987395626702
1999 Q3,1188.321303252014,6647.404217098047,3526.883121870981,1856.527708506077,13219.13635072712
1999 Q4,1157.1033719585541,8559.828696695608,11176.044375233267,2744.79210068679,23637.768544574217
2000 Q1,974.8896023319697,6397.673608796145,2510.616213984739,1548.8965586100571,11432.075983722912
2000 Q2,1487.8477142545507,5443.046673842725,2150.340681888846,1631.1431794113548,10712.378249397476
2000 Q3,1802.377519301979,6350.253255140616,7804.663025148221,1829.1412926642925,17786.435092255106
2000 Q4,1911.8952222630048,15368.710277881884,14747.838780658152,2369.7219213155977,34398.166202118635
2001 Q1,1623.0106129439398,11776.402838537006,1913.5356775218913,1327.6342486089075,16640.583377611743
2001 Q2,1971.9755908954949,8053.3480943333925,4749.725402076757,1232.6711510818318,16007.720238387476
2001 Q3,2251.1667124979695,8212.864759714776,6950.803142613411,1808.8608197319988,19223.695434558154
2001 Q4,2529.6035736434274,11891.069917715024,7946.75395518777,2172.9034805290516,24540.330927075272
2002 Q1,2387.3958260565933,7141.0937577362065,6744.66411144765,1370.2214601324208,17643.37515537287
2002 Q2,2398.7978118768474,13356.693610937822,2714.784363422011,1991.2287052672255,20461.504491503903
2002 Q3,3310.149239450557,13206.715643753381,13024.482570345572,2375.918224986514,31917.265678536023
2002 Q4,4433.702359436588,14892.900804116482,12603.455876801652,2195.588954938369,34125.6479952931
2003 Q1,1406.6032579017653,6428.662079963895,4354.289254382651,1664.6871042353407,13854.241696483652
2003 Q2,2500.0641914907455,8064.583883910423,3983.5146371221435,1858.5121138667746,16406.674826390084
2003 Q3,3497.8934413757765,4414.8693115009,6524.072378871928,1990.6527849600488,16427.487916708655
2003 Q4,3775.520404256106,20167.443360793903,8437.507123420764,2519.6266489031914,34900.09753737397
2004 Q1,3699.110930714811,10212.701120773005,3744.27440597083,2367.5098384569174,20023.596295915562
2004 Q2,3768.8707108699973,7317.779330693959,9709.886716474464,1241.9856389701215,22038.52239700854
2004 Q3,4179.672300338923,5140.84298658716,11509.287217876994,1289.7893092480708,22119.59181405115
2004 Q4,4240.490465327375,13423.228415799298,7679.201013049835,1674.9643249176931,27017.8842190942
2005 Q1,2666.109673407831,10577.755426115134,5863.6293663104225,1641.8585739864468,20749.353039819835
2005 Q2,2162.1190916671403,11940.548457004821,6582.683342660342,1936.1071665387635,22621.458057871067
2005 Q3,1588.2122592963801,9713.787187975924,10060.451648989672,2555.08585914778,23917.536955409756
2005 Q4,2309.677907548898,17797.614829016107,11456.463702738714,1758.9728547010836,33322.72929400481
2006 Q1,2140.2857939522182,5078.4682276028725,5110.3797000551385,1739.1082597944203,14068.24198140465
2006 Q2,1506.037590692512,12979.067061008998,7404.333194388399,1809.9774913382923,23699.4153374282
2006 Q3,1162.8493893734121,15901.61742244887,7431.257609564725,2136.782737387931,26632.507158774937
2006 Q4,2242.926305592648,21768.23915348436,12587.630277068443,4508.279457914288,41107.07519405974
2007 Q1,2228.2317355054097,11097.95363325143,6989.124000897276,2424.3583724103937,22739.66774206451
2007 Q2,2694.5344427452856,11552.443066644042,9604.904638945989,2995.6821640155667,26847.56431235088
2007 Q3,1998.3236141382124,14188.203165739866,12873.688000008538,4804.608985152354,33864.82376503897
2007 Q4,3011.2539520610967,15696.427818088734,21278.533701353943,5263.410370274984,45249.625841778754
2008 Q1,2442.336178958306,14587.520471843729,10761.04174994962,3717.756116862387,31508.654517614043
2008 Q2,2978.294726450339,16132.376749953817,18116.224925752882,3578.8629747629193,40805.75937691995
2008 Q3,1928.040146129116,16160.86401883121,16196.07982392727,6917.944364252284,41202.928353139876
2008 Q4,3173.0808569835676,26326.027135691053,20772.750778273807,6703.498298829782,56975.357069778205
2009 Q1,2092.788806435806,14339.288605605749,12352.257120400547,3801.2147312021425,32585.549263644243
2009 Q2,3571.9397258442186,16872.987523052223,17365.057406282787,5353.395608777017,43163.38026395625
2009 Q3,3021.451833173768,56394.55763478557,26935.53912482743,9991.50848123007,96343.05707401683
2009 Q4,3591.8166344696483,26021.520475350248,30312.892583843255,11794.421571365328,71720.65126502847
2010 Q1,4590.972616122841,13569.693543060517,17091.46817583006,8980.48974900801,44232.62408402143
2010 Q2,4019.8655378812045,18276.913166167695,23747.19902390639,11930.879583463633,57974.85731141892
